ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count
Western Province,Nyamasheke,Kagano,RW3705,0.4446569675352515,4.706829071044922,0.7674038726078065,821.9856279481132,43565.23828125,3.5729,5,0
Western Province,Nyamasheke,Kanjongo,RW3706,0.2892846559223376,2.59761905670166,0.5614712979553663,803.2185479525862,46586.67578125,2.652,3,0
Western Province,Nyamasheke,Karambi,RW3707,0.03242654497291173,1.3486666679382324,0.15720081550742115,327.59911151960785,33415.109375,1.638,2,0
Western Province,Nyamasheke,Karengera,RW3708,0.01326177969123378,0.8751281499862671,0.09273290058719685,556.7698317307693,36190.0390625,4.2448,1,0
Western Province,Nyamasheke,Kirimbi,RW3709,0.19742039271763392,1.13840913772583,0.3431165979330933,624.9652506510416,29998.33203125,2.129,1,0
Western Province,Nyamasheke,Macuba,RW3710,0.14151505999236938,1.5849997997283936,0.30497027256997766,636.9264856557377,38852.515625,3.3402,1,0
Western Province,Nyamasheke,Mahembe,RW3711,0.039955569721978425,1.0183333158493042,0.17077536960993045,355.35455519153226,22031.982421875,2.9735,1,0
Western Province,Nyamasheke,Nyabitekeri,RW3712,0.0,0.0,0.0,897.784375,35911.375,3.9762,3,0
Western Province,Nyamasheke,Rangiro,RW3713,0.08884585482402912,2.406904697418213,0.28601904331130235,161.43245600728156,16627.54296875,1.2006,2,0
Western Province,Nyamasheke,Ruharambuga,RW3714,0.15282969192345383,1.7804545164108276,0.33993099107489405,487.29455236486484,36059.796875,3.541,2,0
Western Province,Nyamasheke,Shangi,RW3715,0.0,0.0,0.0,814.4043482730264,30947.365234375,3.2177,3,0
Northern Province,Rulindo,Base,RW4101,0.5654927767240084,3.2634785175323486,0.6148559424967481,694.541748046875,22225.3359375,4.609,1,0
Northern Province,Rulindo,Burega,RW4102,0.0,0.0,0.0,396.1633943256579,15054.208984375,4.4126,0,0
Northern Province,Rulindo,Bushoki,RW4103,0.6267290284647744,3.184000015258789,0.5697843082372555,605.09794921875,24203.91796875,3.6605,3,0
Northern Province,Rulindo,Buyoga,RW4104,0.04427782443201118,0.6785964369773865,0.14937662313822792,443.7997101814516,27515.58203125,4.29,0,0
Northern Province,Rulindo,Cyinzuzi,RW4105,0.02154295957541164,0.917931079864502,0.12387304085744734,458.90712890625,18356.28515625,3.5798,1,0
Northern Province,Rulindo,Cyungo,RW4106,0.2829723567753048,1.1236538887023926,0.35485332105039413,707.2548828125,15559.607421875,5.6557,0,0
Northern Province,Rulindo,Kinihira,RW4107,0.25757977434697044,1.4870588779449463,0.38152281665496723,606.8502807617188,19419.208984375,5.2166,5,0
Northern Province,Rulindo,Kisaro,RW4108,0.21322391810042135,1.3603774309158325,0.38845098929834254,564.5777254971591,24841.419921875,5.9898,0,0
Northern Province,Rulindo,Masoro,RW4109,0.7203019907776739,2.324237108230591,0.635154738979908,828.8747767857143,29010.6171875,5.4591,1,0
Northern Province,Rulindo,Mbogo,RW4110,0.12289221914190995,1.360727310180664,0.30461700154421767,425.0561044730392,21677.861328125,3.2541,0,0
Northern Province,Rulindo,Murambi,RW4111,0.45601478859230327,3.556896448135376,0.714721271033986,719.7888257575758,23753.03125,4.3828,1,0
Northern Province,Rulindo,Ngoma,RW4112,0.01915438543230095,0.7422033548355103,0.10484129774241156,397.9296875,15519.2578125,3.536,1,0
Northern Province,Rulindo,Ntarabana,RW4113,0.40275466076435484,1.7973214387893677,0.5441637155094579,693.3436498397435,27040.40234375,5.7721,2,0
Northern Province,Rulindo,Rukozo,RW4114,0.1385614719796688,1.019444465637207,0.2767573706924436,752.97216796875,18071.33203125,5.9337,0,0
Northern Province,Rulindo,Rusiga,RW4115,0.7732560782596982,4.262545585632324,0.6902447085337521,395.51935891544116,13447.658203125,3.674,1,0
Northern Province,Rulindo,Shyrongi,RW4116,0.9448406620112728,4.392458438873291,1.003644619345045,633.7327112268518,34221.56640625,4.1925,4,0
Northern Province,Rulindo,Tumba,RW4117,0.10401224027014082,1.8361111879348755,0.2882368839133547,586.2966796875,23451.8671875,4.4267,1,0
Northern Province,Gakenke,Busengo,RW4201,0.0,0.0,0.0,511.73250868055555,23027.962890625,6.8093,1,0
Northern Province,Gakenke,Coko,RW4202,0.0,0.0,0.0,312.5257112873134,20939.22265625,3.8884,0,0
Northern Province,Gakenke,Cyabingo,RW4203,0.1330093135004458,1.2790194749832153,0.2997616918380126,704.6605603448276,20435.15625,8.1099,0,0
Northern Province,Gakenke,Gakenke,RW4204,0.23668021177634216,2.6237778663635254,0.48693429142041234,531.3480631510416,25504.70703125,5.3149,4,0
Northern Province,Gakenke,Gashenyi,RW4205,0.3103076584485112,1.6366665363311768,0.4732622331194856,501.329413231383,23562.482421875,5.2383,1,0
Northern Province,Gakenke,Janja,RW4206,0.006318853034839763,0.45931029319763184,0.053063231198514416,524.1436695772059,17820.884765625,6.4906,2,0
Northern Province,Gakenke,Kamubuga,RW4207,0.0,0.0,0.0,620.9359375,27942.1171875,6.6717,1,0
Northern Province,Gakenke,Karambo,RW4208,0.1461070119118204,1.5252939462661743,0.32168963729359445,573.3005558894231,14905.814453125,4.7475,1,0
Northern Province,Gakenke,Kivuruga,RW4209,0.27231117144022904,1.2960784435272217,0.3769976642375996,603.5132921006945,21726.478515625,6.2008,3,0
Northern Province,Gakenke,Mataba,RW4210,0.0,0.0,0.0,450.3326994243421,17112.642578125,5.1327,1,0
Northern Province,Gakenke,Minazi,RW4211,0.0,0.0,0.0,286.84840198863634,15776.662109375,3.5794,1,0
Northern Province,Gakenke,Mugunga,RW4212,0.024583674529019522,0.7241666316986084,0.11689620618360554,741.3127232142857,25945.9453125,5.9472,2,0
Northern Province,Gakenke,Muhondo,RW4213,0.08954616636037827,3.438474655151367,0.36987655234088573,373.2150213068182,24632.19140625,4.4744,0,0
Northern Province,Gakenke,Muyongwe,RW4214,0.033687476139919015,1.0167239904403687,0.1499535701132791,438.8182164634146,17991.546875,3.8195,1,0
Northern Province,Gakenke,Muzo,RW4215,0.0,0.0,0.0,497.14539930555554,26845.8515625,4.7803,4,0
