ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,nightlight_mean,nightlight_max,nightlight_std,pop_density_mean,pop_total,road_density_km_per_km2,health_facility_count,school_count,poverty_rate,mean_cons_ae,label_source
Southern Province,Huye,Mbazi,RW2407,0.7996816924124053,4.928225517272949,0.9800459206953928,869.4348404255319,40863.4375,4.9768,0,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Mukura,RW2408,0.6738974301869632,3.94137978553772,0.8778157287718927,769.4167258522727,25390.751953125,4.4404,2,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Ngoma,RW2409,5.246456298828125,16.437580108642578,4.347616297912273,1337.359619140625,32096.630859375,7.1186,27,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Ruhashya,RW2410,0.2453999662603943,3.440000057220459,0.4634439486160118,594.1011584051724,34457.8671875,4.6659,1,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Rusatira,RW2411,0.3622817035499477,1.87790322303772,0.4391431124600866,602.1514136904761,37935.5390625,4.0284,1,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Rwaniro,RW2412,0.0,0.0,0.0,502.8522836538461,32685.3984375,4.367,1,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Simbi,RW2413,0.0722411232765274,1.1970689296722412,0.2293952972098883,563.838671875,28191.93359375,4.4335,3,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Huye,Tumba,RW2414,2.202471663312214,7.919530868530273,1.9817789773759495,2393.0671164772725,52647.4765625,7.9806,4,0,0.2008797624468975,1058806.560953192,EICV7_survey
Southern Province,Nyamagabe,Buruhukiro,RW2501,0.0283600051276192,1.6670268774032593,0.1528809065358628,167.9699176290761,30906.46484375,1.1808,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Cyanika,RW2502,0.0368770163828932,0.819636344909668,0.1485618817998193,560.4128654233871,34745.59765625,3.8852,0,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Gasaka,RW2503,0.985384259905134,8.089643478393555,1.3497493454861085,1468.5492021276596,69021.8125,4.8476,3,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Gatare,RW2504,0.0390178706194903,1.285641074180603,0.1677585922372271,268.47645399305554,19330.3046875,3.0365,2,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Kaduha,RW2505,0.0594632300463589,1.7667306661605835,0.2320948344629514,321.3209186422414,27954.919921875,3.3334,2,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Kamegeri,RW2506,0.0231524674515975,0.7934482097625732,0.109081682035274,482.10810546875,19284.32421875,4.0009,0,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Kibirizi,RW2507,0.058678458008585,0.96999990940094,0.1835818775346983,568.6641949152543,33551.1875,3.8926,1,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Kibumbwe,RW2508,0.0,0.0,0.0,294.46219544491527,17373.26953125,2.8625,0,0,0.4407263951252015,592757.717533788,EICV7_survey
Southern Province,Nyamagabe,Kitabi,RW2509,0.3496343805926487,2.4263463020324707,0.5794976076231891,280.93198939732144,31464.3828125,2.6145,2,0,0.4407263951252015,592757.717533788,EICV7_survey
